"Month","Mean.Abs.Return","Tickers"
2006-01-01,0.0137650944921089,37
2006-02-01,0.0116983875904513,37
2006-03-01,0.0106308447732031,37
2006-04-01,0.0117633413536165,37
2006-05-01,0.0132020428126329,38
2006-06-01,0.0137098108970079,38
2006-07-01,0.014165967788395,38
2006-08-01,0.0108354756649888,38
2006-09-01,0.0111271526729328,38
2006-10-01,0.011087918043906,39
2006-11-01,0.0110173194532081,39
2006-12-01,0.00978439577005409,39
2007-01-01,0.0120173240729142,39
2007-02-01,0.0104939883742986,39
2007-03-01,0.010711408473157,39
2007-04-01,0.0096790953418833,39
2007-05-01,0.00925320320282443,39
2007-06-01,0.0111441928480564,39
2007-07-01,0.0133581239170883,39
2007-08-01,0.0170117430936299,39
2007-09-01,0.0123367077107517,39
2007-10-01,0.0147216363848902,39
2007-11-01,0.0185027673036306,39
2007-12-01,0.0133878298937758,39
2008-01-01,0.0230058224713031,39
2008-02-01,0.0179493074280347,39
2008-03-01,0.0207248700996879,40
2008-04-01,0.0166826196517603,40
2008-05-01,0.0140109115114995,40
2008-06-01,0.0168594866899533,40
2008-07-01,0.0222353613804031,40
2008-08-01,0.0163623321563986,40
2008-09-01,0.031291708322772,40
2008-10-01,0.0481847528419141,40
2008-11-01,0.0437600414578334,40
2008-12-01,0.0298319744701663,40
2009-01-01,0.0316061311070599,40
2009-02-01,0.0266414955769731,41
2009-03-01,0.032481949205643,41
2009-04-01,0.0235160304361874,41
2009-05-01,0.0206540881205416,41
2009-06-01,0.0158063146629027,41
2009-07-01,0.0159429072068512,41
2009-08-01,0.0132788369689192,42
2009-09-01,0.0132142643517717,42
2009-10-01,0.0157656316686746,42
2009-11-01,0.0130928429975587,42
2009-12-01,0.0106205070218642,42
2010-01-01,0.0150673280890385,42
2010-02-01,0.0129676151451362,42
2010-03-01,0.00949526949218048,42
2010-04-01,0.0119482194882009,42
2010-05-01,0.0187914222037539,42
2010-06-01,0.015258448809816,43
2010-07-01,0.0143930186464224,44
2010-08-01,0.0125857526508787,44
2010-09-01,0.0128315203244898,44
2010-10-01,0.0109551019789195,44
2010-11-01,0.0131091041507704,44
2010-12-01,0.0106497406009112,44
2011-01-01,0.0123998096803639,44
2011-02-01,0.0123751502266124,44
2011-03-01,0.0128149541746261,44
2011-04-01,0.0113667276428376,44
2011-05-01,0.0106398118277222,44
2011-06-01,0.0131640625898176,44
2011-07-01,0.0128757283912689,44
2011-08-01,0.0260135290492833,44
2011-09-01,0.0206983744345385,44
2011-10-01,0.0209148454637328,44
2011-11-01,0.0194458630900598,44
2011-12-01,0.01403844239931,44
2012-01-01,0.012925292741547,44
2012-02-01,0.0109198290349394,44
2012-03-01,0.0104984347732634,44
2012-04-01,0.0129272294099472,44
2012-05-01,0.0142434971740541,45
2012-06-01,0.0152316585557469,45
2012-07-01,0.0138376934899804,45
2012-08-01,0.00964557020945802,45
2012-09-01,0.0120433231445259,45
2012-10-01,0.0121856646848047,45
2012-11-01,0.0122863791410692,45
2012-12-01,0.0100219875404787,45
2013-01-01,0.011513832265079,46
2013-02-01,0.0113018386173394,46
2013-03-01,0.00935100769558279,46
2013-04-01,0.0127862399403629,46
2013-05-01,0.0124180729654562,46
2013-06-01,0.0127862494197936,46
2013-07-01,0.0109143761768818,46
2013-08-01,0.00994778442849101,46
2013-09-01,0.00976795024161299,46
2013-10-01,0.0110191131346053,46
2013-11-01,0.00973846033791003,46
2013-12-01,0.00929293394375872,46
2014-01-01,0.0126997139476995,46
2014-02-01,0.010105418577263,46
2014-03-01,0.0104143152283407,46
2014-04-01,0.0128829375050235,46
2014-05-01,0.0089357080047891,46
2014-06-01,0.00763807161112412,46
2014-07-01,0.00974775689681824,46
2014-08-01,0.00769003020415428,46
2014-09-01,0.00931246704555142,47
