"Month","Mean.Abs.Return","Tickers"
2008-10-01,0.0481847528419141,40
2020-03-01,0.0467355763021696,48
2008-11-01,0.0437600414578334,40
2009-03-01,0.032481949205643,41
2009-01-01,0.0316061311070599,40
