"Month","AAPL","AVGO","MSFT","NVDA"
2025-01-01,100,100,100,100
2025-02-01,102.587244463924,90.129707937779,95.8381915356888,104.039307943452
2025-03-01,94.2263678658545,75.896695960494,90.623692962304,90.2723117381549
2025-04-01,90.1413726511731,87.2474330239178,95.4205556412582,90.7220905288025
2025-05-01,85.3112368328979,109.731313555981,111.340503057605,112.553039651923
2025-06-01,87.146157189621,125.247376939866,120.30125284087,131.602823323871
2025-07-01,88.1655646110318,133.448771846251,129.029811112498,148.162495442848
2025-08-01,98.7135937761865,135.125406652863,122.747121714617,145.088788822229
2025-09-01,108.27708639174,150.15838177889,125.47489129084,155.426531597014
2025-10-01,114.970252493976,168.236915733434,125.440964916566,168.680025159036
2025-11-01,118.691177344387,183.407053244431,119.413933391169,147.446113747522
2025-12-01,115.715906669321,157.828662109385,117.377623410713,155.368540730131
