"Market","mean_return","sd_return","observations"
"Korea",0.000940388232294253,0.0236714686702664,9942
"United States",0.000863791580278007,0.0219174148197296,184754
"Hong Kong",0.000791965909891594,0.0198850513610059,18528
"Paris",0.000627711725758723,0.0182082265637015,5151
"Switzerland",0.000361460392925073,0.0127451527037467,10138
"Saudi Arabia",0.000145329770543245,0.0105214117884582,1549
