"Month","Ticker","Indexed.Price"
2025-01-01,"AAPL",100
2025-01-01,"AVGO",100
2025-01-01,"MSFT",100
2025-01-01,"NVDA",100
2025-02-01,"AAPL",102.587244463924
2025-02-01,"AVGO",90.129707937779
2025-02-01,"MSFT",95.8381915356888
2025-02-01,"NVDA",104.039307943452
2025-03-01,"AAPL",94.2263678658545
2025-03-01,"AVGO",75.896695960494
2025-03-01,"MSFT",90.623692962304
2025-03-01,"NVDA",90.2723117381549
2025-04-01,"AAPL",90.1413726511731
2025-04-01,"AVGO",87.2474330239178
2025-04-01,"MSFT",95.4205556412582
2025-04-01,"NVDA",90.7220905288025
2025-05-01,"AAPL",85.3112368328979
2025-05-01,"AVGO",109.731313555981
2025-05-01,"MSFT",111.340503057605
2025-05-01,"NVDA",112.553039651923
2025-06-01,"AAPL",87.146157189621
2025-06-01,"AVGO",125.247376939866
2025-06-01,"MSFT",120.30125284087
2025-06-01,"NVDA",131.602823323871
2025-07-01,"AAPL",88.1655646110318
2025-07-01,"AVGO",133.448771846251
2025-07-01,"MSFT",129.029811112498
2025-07-01,"NVDA",148.162495442848
2025-08-01,"AAPL",98.7135937761865
2025-08-01,"AVGO",135.125406652863
2025-08-01,"MSFT",122.747121714617
2025-08-01,"NVDA",145.088788822229
2025-09-01,"AAPL",108.27708639174
2025-09-01,"AVGO",150.15838177889
2025-09-01,"MSFT",125.47489129084
2025-09-01,"NVDA",155.426531597014
2025-10-01,"AAPL",114.970252493976
2025-10-01,"AVGO",168.236915733434
2025-10-01,"MSFT",125.440964916566
2025-10-01,"NVDA",168.680025159036
2025-11-01,"AAPL",118.691177344387
2025-11-01,"AVGO",183.407053244431
2025-11-01,"MSFT",119.413933391169
2025-11-01,"NVDA",147.446113747522
2025-12-01,"AAPL",115.715906669321
2025-12-01,"AVGO",157.828662109385
2025-12-01,"MSFT",117.377623410713
2025-12-01,"NVDA",155.368540730131
