"Date","Ticker","Year","Month","Weekday"
2006-01-02,"000660.KS",2006,"January","Monday"
2006-01-03,"000660.KS",2006,"January","Tuesday"
2006-01-04,"000660.KS",2006,"January","Wednesday"
2006-01-05,"000660.KS",2006,"January","Thursday"
2006-01-06,"000660.KS",2006,"January","Friday"
2006-01-09,"000660.KS",2006,"January","Monday"
